item,row_id,series,char
1,169,冓,講
2,259,票,𧢄
3,260,票,驃
4,344,古,怙
5,3,戔,㣤
6,109,兼,磏
7,68,句,斪
8,210,喬,矯
9,395,各,䀩
10,209,喬,鷮
11,141,巠,蛵
12,88,皮,波
13,301,青,凊
14,29,侖,綸
15,249,票,嘌
16,127,巠,羥
17,322,方,瓬
18,175,冓,購
19,337,古,枯
20,283,叕,掇
21,190,堯,曉
22,164,叚,鰕
23,300,青,清
24,242,氐,𥿄
25,264,票,漂
26,362,可,舸
27,163,叚,霞
28,87,皮,㝿
29,31,侖,輪
30,315,方,邡
31,45,句,敂
32,2,戔,琖
33,350,古,酤
34,240,氐,泜
35,8,戔,箋
36,195,堯,磽
37,234,氐,低
38,410,各,烙
39,244,氐,坻
40,212,喬,僑
41,304,青,蜻
42,185,堯,𢿲
43,82,皮,被
44,110,兼,㺌
45,113,兼,尲
46,26,侖,惀
47,152,叚,嘏
48,243,氐,蚳
49,219,喬,繑
50,394,各,𩊚
51,306,方,旁
52,171,冓,爯
53,349,古,辜
54,79,皮,旇
55,15,戔,㹽
56,40,句,苟
57,287,叕,綴
58,119,兼,縑
59,323,方,紡
60,86,皮,駊
61,353,可,苛
62,334,古,㱠
63,200,堯,撓
64,352,可,珂
65,388,其,基
66,115,兼,溓
67,80,皮,疲
68,275,叕,腏
69,356,可,奇
70,294,青,靚
71,347,古,姑
72,281,叕,歠
73,409,各,䶅
74,284,叕,娺
75,393,各,詻
76,54,句,昫
77,74,皮,詖
78,357,可,叵
79,67,句,劬
80,331,古,故
81,381,其,䫏
82,6,戔,諓
83,408,各,駱
84,361,可,何
85,136,巠,𢙼
86,168,冓,遘
87,129,巠,剄
88,97,兼,嗛
89,241,氐,抵
90,390,其,㠱
91,120,兼,螊
92,36,農,濃
93,255,票,旚
94,238,氐,厎
95,318,方,舫
96,398,各,骼
97,57,句,耇
98,35,農,㺜
99,41,句,跔
100,184,堯,譊
101,248,票,蔈
102,47,句,雊
103,140,巠,經
104,104,兼,傔
105,111,兼,鼸
106,137,巠,涇
107,373,其,萁
108,27,侖,淪
109,413,各,鮥
110,302,青,婧
111,50,句,𠛎
112,206,喬,趫
113,257,票,幖
114,161,叚,麚
115,154,叚,椵
116,374,其,諅
117,375,其,諆
118,199,堯,澆
119,317,方,仿
120,194,堯,嶢
121,62,句,竘
122,160,叚,騢
123,181,堯,蕘
124,310,方,𨾔
125,132,巠,痙
126,19,戔,䧖
127,400,各,𠲱
128,229,氐,𨾦
