item,series,char,relation,morph_relation_auto,code_core
1,亡,巟,聲,O,N
2,厂,厄,聲,C,N
3,食,飾,聲,O,N
4,耳,弭,聲,C,N
5,卒,碎,聲,O,N
6,吅,單,亦聲,O2,N
7,斬,漸,聲,O,X
8,干,舌,亦聲,C,N
9,臽,閻,聲,V,N
10,日,衵,亦聲,R,E
11,共,鬨,聲,O,N
12,羊,痒,聲,R,N
13,召,邵,聲,R,X
14,弋,代,聲,R,N
15,召,詔,亦聲,O,Y
16,成,盛,聲,R,E
17,自,息,亦聲,C,E
18,羊,養,聲,R,N
19,史,吏,亦聲,R,E
20,責,積,聲,O,N
21,先,姺,聲,R,X
22,豈,螘,聲,V,N
23,壬,紝,聲,I,N
24,合,洽,聲,R,E
25,象,像,亦聲,I,Y
26,手,杽,亦聲,R,E
27,丩,叫,聲,C,N
28,易,賜,聲,R,N
29,合,閤,聲,R,N
30,丑,狃,聲,O,N
31,豈,愷,亦聲,R,E
32,先,詵,亦聲,R,N
33,耳,恥,聲,O,N
34,米,敉,聲,R,N
35,共,拱,聲,R,E
36,丩,句,聲,C,Y
37,弟,娣,亦聲,I,E
38,卒,淬,聲,O,N
39,取,娶,亦聲,R,Y
40,弋,忒,聲,O,N
41,賈,價,亦聲,R,Y
42,羊,羌,亦聲,O,Y
43,弋,式,聲,O,N
44,壬,衽,聲,R,N
45,干,汗,聲,O,N
46,卑,稗,聲,O,E
47,干,旱,聲,O,N
48,龍,隴,聲,R,N
49,受,授,亦聲,R,Y
50,夾,梜,聲,R,E
51,星,醒,聲,R,N
52,元,翫,聲,C,N
53,鄉,曏,聲,O2,N
54,舛,舜,亦聲,V,N
55,臽,陷,亦聲,I,E
56,句,狗,聲,R,N
57,骨,滑,聲,O,N
58,齊,濟,聲,V,X
59,責,債,亦聲,R,E
60,石,碩,聲,I,N
61,監,鹽,聲,V,N
62,壴,鼓,亦聲,V,E
63,臽,窞,亦聲,O2,Y
64,鬼,嵬,聲,O,N
65,句,鉤,亦聲,I,Y
66,父,甫,亦聲,R,E
67,厓,涯,亦聲,I,Y
68,弋,必,亦聲,C,N
69,亡,忘,亦聲,I,E
70,子,字,亦聲,O,E
71,召,鞀,聲,R,N
72,离,魑,亦聲,I,N
73,干,奸,亦聲,I,Y
74,合,翕,聲,V,N
75,反,返,亦聲,I,Y
76,朿,刺,亦聲,I,E
77,奇,倚,聲,O,N
78,中,仲,亦聲,R,Y
79,吅,患,亦聲,C,E
80,文,旻,聲,R,N
81,廾,弈,亦聲,C,N
82,丑,羞,亦聲,O,N
83,羊,翔,聲,R,N
84,工,紅,聲,O,N
85,系,係,亦聲,R,Y
86,昏,婚,亦聲,I,E
87,生,姓,亦聲,R,Y
88,酉,酒,亦聲,O,Y
89,丂,可,亦聲,C,N
90,米,麋,聲,V,X
91,厂,彥,聲,O,N
92,奇,錡,聲,O,N
93,卒,焠,聲,O,N
94,平,苹,聲,R,N
95,喜,熹,聲,R,N
96,見,硯,聲,C,N
97,工,江,聲,R,X
98,予,舒,亦聲,O,N
99,井,耕,聲,O2,E
100,四,駟,聲,I,E
