phonetic,head_in_shuowen,head_gloss,head_dx_fanqie,char,sw_id,relation,shuowen_gloss,daxu_fanqie,mc_bs2014,guangyun_position,mc_confidence,head_mc_bs2014,oc_bs2014,oc_bs_match,head_oc_bs2014,head_oc_bs_match,morph_relation_auto,morph_diff,src
㒳,True,再也。从冂，闕。《易》曰：“參天㒳地。”凡㒳之屬皆从㒳。,良奬切,兩,4789,亦聲,二十四銖爲一兩。从一；㒳，平分，亦聲。,良奬切,ljangX,來開三陽上,initial_only,ljangX,*p.raŋʔ,mc_match,,not_in_bs,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
㖾,False,,,遌,1130,亦聲,相遇驚也。从辵从㖾，㖾亦聲。,五各切,ngak,疑開一唐入,identical_fanqie,,*ŋˤak,mc_match,,not_in_bs,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
㖾,False,,,㓵,2734,聲,刀劒刃也。从刀㖾聲。,五各切,,,none,,,not_in_bs,,not_in_bs,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
㖾,False,,,鄂,4078,聲,江夏縣。从邑㖾聲。,五各切,ngak,疑開一唐入,identical_fanqie,,,not_in_bs,,not_in_bs,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
㚔,True,所以驚人也。从大从𢆉。一曰大聲也。凡㚔之屬皆从㚔。一曰讀若瓠。一曰俗語以盜不止爲㚔，㚔讀若籋。,尼輒切,執,6613,亦聲,捕罪人也。从丮从㚔，㚔亦聲。,之入切,tsyip,章開三侵入,identical_fanqie,nrjep,*[t]ip,mc_match,,not_in_bs,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
㚔,True,所以驚人也。从大从𢆉。一曰大聲也。凡㚔之屬皆从㚔。一曰讀若瓠。一曰俗語以盜不止爲㚔，㚔讀若籋。,尼輒切,緈,8515,聲,直也。从糸㚔聲。讀若陘。,胡頂切,hengX,匣開四青上,identical_fanqie,nrjep,,not_in_bs,,not_in_bs,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
㡀,True,敗衣也。从巾，象衣敗之形。凡㡀之屬皆从㡀。,毗祭切,敝,4919,亦聲,帗也。一曰敗衣。从攴从㡀，㡀亦聲。,毗祭切,bjiejH,並三A祭去,identical_fanqie,bjiejH,*[b]e[t]-s,mc_match,,not_in_bs,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
㢟,True,安步㢟㢟也。从廴从止。凡㢟之屬皆从㢟。,丑連切,𢌨,2125,亦聲,相顧視而行也。从目从㢟，㢟亦聲。,于線切,yen,以開三仙平,no_match_first_reading,trhjen,,not_in_bs,,not_in_bs,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
㫃,True,旌旗之游，㫃蹇之皃。从屮，曲而下，垂㫃相出入也。讀若偃。古人名㫃，字子游。凡㫃人之屬皆从㫃。,於幰切,𣃘,232,亦聲,旌旗杠皃。从丨从㫃，㫃亦聲。,丑善切,trhjenX,徹開三仙上,identical_fanqie,'jonX,,not_in_bs,*qarʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
㫃,True,旌旗之游，㫃蹇之皃。从屮，曲而下，垂㫃相出入也。讀若偃。古人名㫃，字子游。凡㫃人之屬皆从㫃。,於幰切,倝,4258,聲,日始出，光倝倝也。从旦㫃聲。凡倝之屬皆从倝。,古案切,kanH,見開一寒去,identical_fanqie,'jonX,*[k]ˤar-s,mc_match,*qarʔ,mc_match,O,"ini,phar,suf;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
