sw_id,char,daxu_gloss,daxu_yisheng,xiaoxu_yisheng,xiaoxu_phonetic,xiaoxu_text,match_score,match_conf,agreement
5,吏,治人者也。从一从史，史亦聲。,True,,,萬物者也从示申聲,0.44,low,not_aligned
12,禮,履也。所以事神致福也。从示从豊，豊亦聲。,True,,,言拂也甫勿反求福也从示斤聲,0.43,low,not_aligned
39,祏,宗廟主也。《周禮》有郊、宗、石室。一曰大夫以石爲主。从示从石，石亦聲。,True,True,石,宗廟主也周禮有郊宗石室一曰大夫以石爲主从示石石亦聲,0.98,high,both
54,禬,會福祭也。从示从會，會亦聲。《周禮》曰：“禬之祝號。”,True,,,之而章反㑹福祭也从示㑹聲周禮禬之祝號古最反祭天也从示單聲時絹,0.51,low,not_aligned
111,琥,發兵瑞玉，爲虎文。从玉从虎，虎亦聲。《春秋傳》曰：“賜子家雙琥。”,True,,,璙亦羙玉也黎彫反玉也从玉雚聲春秋傳曰瓘斚,0.38,low,not_aligned
112,瓏,禱旱玉。龍文。从玉从龍，龍亦聲。,True,False,,禱旱玉龍文从玉龍聲,0.9,high,daxu_only
120,瑁,諸侯執圭朝天子，天子執玉以冒之，似犂冠。《周禮》曰：“天子執瑁四寸。”从玉、冒，冒亦聲。,True,,,國傳故之也子好反垂玉也冕飾从玉流聲,0.21,low,not_aligned
125,珥,瑱也。从玉、耳，耳亦聲。,True,True,耳,瑱也从玉耳耳亦聲,1.0,high,both
203,琀,送死口中玉也。从玉从含，含亦聲。,True,,,石似玉也玉也从玉求聲,0.45,low,not_aligned
232,𣃘,旌旗杠皃。从丨从㫃，㫃亦聲。,True,True,㫃,旌旗杠皃从丨㫃亦聲,0.89,high,both
237,㞣,艸初生，其香分布。从屮从分，分亦聲。,True,True,分,艸𥘉生其香分布从□分分亦聲,0.8,high,both
568,䒹,耕多艸。从艸、耒，耒亦聲。,True,,,履中艸从艸且聲,0.53,low,not_aligned
701,莫,日且冥也。从日在茻中。,False,True,茻,日且冥也从日在茻中茻亦聲,0.9,high,xiaoxu_only
702,莽,南昌謂犬善逐菟艸中爲莽。从犬从茻，茻亦聲。,True,True,茻,南昌謂犬善逐兎艸中為莽从犬从茻茻亦聲,0.88,high,both
703,葬,藏也。从死在茻中；一其中，所以薦之。《易》曰：“古之葬者，厚衣之以薪。”,False,True,茻,藏也从死在茻中一其中所以薦之易曰古之葬者厚衣之以薪茻亦聲,0.96,high,xiaoxu_only
715,𠔁,分也。从重八。八，別也。亦聲。《孝經說》曰：“故上下有別。”,True,,,分也从重八八别也亦聲孝經說曰故上下有别臣諧曰分之甚明也或本音兆,0.67,medium,not_aligned
717,必,分極也。从八、弋，弋亦聲。,True,False,,分極也从八弋聲,0.93,high,daxu_only
725,胖,半體肉也。一曰廣肉。从半从肉，半亦聲。,True,True,半,半體肉一曰廣肉从肉从半半亦聲,0.81,high,both
735,牭,四歲牛。从牛从四，四亦聲。,True,,,二歲牛从牛市聲,0.62,low,not_aligned
757,犓,以芻莖養牛也。从牛、芻，芻亦聲。《春秋國語》曰：“犓豢幾何。”,True,,,以芻莖飬牛也从牛芻芻亦聲春秋國語曰犓豢幾何阻虞反牛柔謹也从牛夒聲爾,0.73,medium,not_aligned
765,㹂,牛很不從引也。从牛从臤，臤亦聲。一曰大皃。讀若賢。,True,,,的米反牛踶也从牛衛聲于歳反牛狠不从引也从牛臤臤亦聲一曰大皃讀若賢,0.68,medium,not_aligned
973,咢,譁訟也。从吅屰聲。,False,True,屰,譁訟也从吅屰亦聲,1.0,high,xiaoxu_only
974,單,大也。从吅、红，吅亦聲。闕。,True,True,吅,大也从吅卑吅亦聲闕,0.88,high,both
977,喪,亾也。从哭从亾。會意。亾亦聲。,True,,,亡也从哭云聲,0.5,low,not_aligned
1033,䟑,趠䟑也。从走龠聲。,False,,,趠䟑也从走从□□亦聲,0.75,medium,not_aligned
1092,迹,步處也。从辵亦聲。,True,,,反近也从辵□聲,0.62,low,not_aligned
1130,遌,相遇驚也。从辵从㖾，㖾亦聲。,True,True,㖾,相遇驚也从辵㖾㖾亦聲,0.95,high,both
1140,返,還也。从辵从反，反亦聲。《商書》曰：“祖甲返。”,True,True,反,還也从辵反反亦聲啇書曰祖甲返,0.89,high,both
1142,選,遣也。从辵、巽，巽遣之；巽亦聲。一曰選，擇也。,True,True,巽,遣也从辵巽巽遣之巽亦聲一曰選擇也,1.0,high,both
1226,𢔟,復也。从彳从柔，柔亦聲。,True,True,柔,復也从彳柔柔亦聲,0.93,high,both
1313,齨,老人齒如臼也。一曰馬八歲齒臼也。从齒从臼，臼亦聲。,True,,,老人齒如□从齒□聲馬八歳齒□也,0.46,low,not_aligned
1318,䶤,齧骨聲。从齒从骨，骨亦聲。,True,,,齧骨聲从齒骨聲胡刮反噍聲从齒昏聲舌劼反噍堅也,0.45,low,not_aligned
1323,𤘌,武牙也。从牙从奇，奇亦聲。,True,,,武牙也从牙竒竒亦聲牽冝反齒蠧也从牙禹聲,0.52,low,not_aligned
1418,𤴙,門戶疏䆫也。从疋，疋亦聲。囪象𤴙形。讀若疏。,True,,,門户䟽窓也从疋囱囱象形讀若跙,0.53,low,not_aligned
1419,𤕟,通也。从爻从疋，疋亦聲。,True,,,通也从十專專布也亦聲,0.47,low,not_aligned
1437,舌,在口，所以言也、別味也。从干从口，干亦聲。凡舌之屬皆从舌。,True,,,,0,none,not_aligned
1451,拘,止也。从句从手，句亦聲。,True,True,句,止也从句手句亦聲,0.93,high,both
1452,笱,曲竹捕魚笱也。从竹从句，句亦聲。,True,True,句,曲竹捕魚笱从竹句句亦聲,0.91,high,both
1453,鉤,曲也。从金从句，句亦聲。,True,,,反曲也従金句句亦聲,0.75,medium,not_aligned
1455,𦱠,艸之相丩者。从茻从丩，丩亦聲。,True,True,丩,艸之相丩者从茻丩丩亦聲,0.95,high,both
1464,博,大通也。从十从尃。尃，布也。,False,,,大通也从十專專布也亦聲,0.7,medium,not_aligned
1477,詵,致言也。从言从先，先亦聲。《詩》曰：“螽斯羽詵詵兮。”,True,True,先,致言也从言先先亦聲詩曰螽斯羽詵詵兮,0.97,high,both
1526,詔,告也。从言从召，召亦聲。,True,,,告也从言俞聲,0.71,medium,not_aligned
1550,警,戒也。从言从敬，敬亦聲。,True,True,敬,戒也从言敬敬亦聲,0.93,high,both
1553,𧧼,人所宜也。从言从宜，宜亦聲。,True,,,人所冝也从言宜亦聲也,0.74,medium,not_aligned
