variant,hypothesis,outcome,n,n_phonetics,labelled_hits,labelled_n,ordinary_hits,ordinary_n,gee_OR,gee_CI95,gee_p_one_sided,glmm_vb_OR,glmm_vb_CI95,gee_p_two_sided
original,H1a,MC identical syllable,1035,152,63,177,133,858,2.38,1.69-3.34,2.9e-07,2.77,1.96-3.93,
original,H1c,member departing | tone/voicing alternation,183,66,16,33,43,150,2.44,1.34-4.48,0.0019,4.15,1.73-9.96,
original,H2,"semantic Y/E (blind LLM coding, X excluded)",83,58,25,33,6,50,22.01,7.12-68.03,3.9e-08,,,
original,H2,"same, paronomastic glosses removed",76,51,18,26,6,50,16.36,5.06-52.85,1.5e-06,,,
both recensions only (drop Da Xu-only and unknown),H1a,MC identical syllable,713,108,35,122,89,591,1.94,1.23-3.06,0.0021,2.02,1.31-3.11,
both recensions only (drop Da Xu-only and unknown),H1c,member departing | tone/voicing alternation,137,45,11,24,30,113,2.44,1.14-5.24,0.011,3.54,1.35-9.29,
both recensions only (drop Da Xu-only and unknown),H2,"semantic Y/E (blind LLM coding, X excluded)",72,51,16,22,6,50,19.75,5.50-70.83,2.4e-06,,,
both recensions only (drop Da Xu-only and unknown),H2,"same, paronomastic glosses removed",69,48,13,19,6,50,16.1,4.37-59.24,1.5e-05,,,
drop Da Xu-only (keep unknown),H1a,MC identical syllable,756,115,39,129,95,627,1.98,1.29-3.04,0.00086,2.12,1.39-3.22,
drop Da Xu-only (keep unknown),H1c,member departing | tone/voicing alternation,140,48,12,25,30,115,2.68,1.26-5.69,0.0051,4.0,1.55-10.29,
drop Da Xu-only (keep unknown),H2,"semantic Y/E (blind LLM coding, X excluded)",73,51,17,23,6,50,21.15,5.88-76.03,1.5e-06,,,
drop Da Xu-only (keep unknown),H2,"same, paronomastic glosses removed",70,48,14,20,6,50,17.43,4.74-64.16,8.5e-06,,,
Da Xu-only recoded as 聲,H1a,MC identical syllable,766,115,39,129,101,637,1.84,1.19-2.85,0.0029,1.96,1.29-2.99,
Da Xu-only recoded as 聲,H1c,member departing | tone/voicing alternation,141,48,12,25,31,116,2.64,1.24-5.60,0.0058,4.06,1.56-10.57,
Da Xu-only recoded as 聲,H2,"semantic Y/E (blind LLM coding, X excluded)",83,58,17,23,14,60,9.44,3.12-28.54,3.5e-05,,,
Da Xu-only recoded as 聲,H2,"same, paronomastic glosses removed",76,51,14,20,10,56,10.83,3.38-34.70,3e-05,,,
H3 within 亦聲: both (labelled) vs Da Xu-only (ordinary),H3,MC identical syllable,170,142,35,122,24,48,0.39,0.19-0.80,,,,0.01
H3 within 亦聲: both (labelled) vs Da Xu-only (ordinary),H3,MC tone/voicing alternation,170,142,24,122,8,48,1.25,0.51-3.08,,,,0.63
H3 within 亦聲: both (labelled) vs Da Xu-only (ordinary),H3,member departing | alternation,32,30,11,24,4,8,nan,nan-nan,,,,nan
H3 within 亦聲: both (labelled) vs Da Xu-only (ordinary),H3,semantic Y/E (blind LLM),32,,16,22,8,10,,,,,,
