hypothesis,comparison,yisheng_hits,yisheng_n,yisheng_rate,ordinary_hits,ordinary_n,ordinary_rate,fisher_one_sided,note
H1a,"MC identical syllable, all phonetics",63,177,0.356,133,858,0.155,4.5e-09,
H1a,"MC identical syllable, matched phonetics (n=121)",50,148,0.338,130,839,0.155,5.2e-07,
H1a,"OC (BS) identical, all phonetics",15,60,0.25,13,249,0.052,2.1e-05,
H1a,"OC (BS) identical, matched phonetics (n=42)",13,47,0.277,4,119,0.034,1.8e-05,
H1b,"OC R (affix/alternation only) among non-identical, all phonetics",18,45,0.4,84,236,0.356,0.34,
H1b,"OC R (affix/alternation only) among non-identical, matched phonetics (n=31)",13,33,0.394,40,86,0.465,0.82,
H1b,"OC R subtype med_+r among non-identical, all phonetics",1,45,0.022,6,236,0.025,0.71,descriptive
H1b,"OC R subtype med_-r among non-identical, all phonetics",0,45,0.0,2,236,0.008,1,descriptive
H1b,"OC R subtype multi among non-identical, all phonetics",5,45,0.111,33,236,0.14,0.77,descriptive
H1b,"OC R subtype phar_gained among non-identical, all phonetics",1,45,0.022,6,236,0.025,0.71,descriptive
H1b,"OC R subtype pre_+Cə- among non-identical, all phonetics",0,45,0.0,1,236,0.004,1,descriptive
H1b,"OC R subtype pre_+m- among non-identical, all phonetics",0,45,0.0,2,236,0.008,1,descriptive
H1b,"OC R subtype pre_+s- among non-identical, all phonetics",0,45,0.0,1,236,0.004,1,descriptive
H1b,"OC R subtype pre_+s. among non-identical, all phonetics",0,45,0.0,5,236,0.021,1,descriptive
H1b,"OC R subtype pre_+sə. among non-identical, all phonetics",0,45,0.0,1,236,0.004,1,descriptive
H1b,"OC R subtype pre_-C. among non-identical, all phonetics",2,45,0.044,0,236,0.0,0.025,descriptive
H1b,"OC R subtype pre_-Cə. among non-identical, all phonetics",0,45,0.0,1,236,0.004,1,descriptive
H1b,"OC R subtype pre_-N- among non-identical, all phonetics",1,45,0.022,1,236,0.004,0.3,descriptive
H1b,"OC R subtype pre_-m- among non-identical, all phonetics",2,45,0.044,6,236,0.025,0.38,descriptive
H1b,"OC R subtype pre_m->C. among non-identical, all phonetics",0,45,0.0,1,236,0.004,1,descriptive
H1b,"OC R subtype suf_+-s among non-identical, all phonetics",0,45,0.0,2,236,0.008,1,descriptive
