sw_id,char,phonetic,in_analysis_set,daxu_gloss,xiaoxu_reading,unknown_reason,layer,round,xiaoxu_juan,xiaoxu_quote,note
5,吏,史,True,治人者也。从一从史，史亦聲。,亦聲,,both,round3_scan,1,治人者也從一從史史亦聲,臣鍇曰吏之理人心主於一也…凡言亦聲備言之耳義不主於聲會意 連致反. Juan 1 leaf 1a verified at p4 left (so leaf L a = left of p3+L); digital leaf ids in juan 1 run ~2 leaves behind the scan (digital 禔 001-3b is actually on 5a). [扫描 n1.pdf p5 left 001-2a]
12,禮,豊,True,履也。所以事神致福也。从示从豊，豊亦聲。,亦聲,,both,round3_scan,1,履也所以事神致福也從示從豊豊亦聲,"臣鍇曰通論備矣 力體反. Right half of p8 shows fold 四 (4b), confirming left = 5a. [扫描 n1.pdf p8 left 001-5a]"
39,祏,石,True,宗廟主也。《周禮》有郊、宗、石室。一曰大夫以石爲主。从示从石，石亦聲。,亦聲,,both,round1,,宗廟主也周禮有郊宗石室一曰大夫以石爲主从示石石亦聲,
54,禬,會,True,會福祭也。从示从會，會亦聲。《周禮》曰：“禬之祝號。”,聲,,daxu_only,round2,1,㑹福祭也从示㑹聲,auto_guess correct
111,琥,虎,True,發兵瑞玉，爲虎文。从玉从虎，虎亦聲。《春秋傳》曰：“賜子家雙琥。”,聲,,daxu_only,round3_scan,1,發兵瑞玉爲虎文從玉虎聲春秋傳曰賜子家子雙琥是,"Headword+gloss begin in last column of p15 left (12a); 聲春秋傳曰賜子家子雙琥是 continues at top of p16 right (12b). Plain 從玉虎聲, no 亦. Note 子家子 (extra 子) vs Da Xu 子家. 臣鍇按周禮曰白琥禮西方… [扫描 n1.pdf p15 left 001-12a]"
112,瓏,龍,True,禱旱玉。龍文。从玉从龍，龍亦聲。,聲,,daxu_only,round1,,禱旱玉龍文从玉龍聲,
120,瑁,冒,True,諸侯執圭朝天子，天子執玉以冒之，似犂冠。《周禮》曰：“天子執瑁四寸。”从玉、冒，冒亦聲。,原书空白不清,原书空白,unknown,round3_scan,1,諸侯執圭朝天子天子執玉以冒之似犂冠周禮曰天子執瑁四寸從玉□□□□,"This part of the page has blank gaps: the upper parts of several columns (also in 珽 before it) show only bleed-through, confirmed on a contrast-enhanced render. The seal headword shows only a 王 element. The words after 從玉 (expected 冒冒亦聲臣鍇) fall in a blank gap. The visible commentary reads 曰圭上有物冒之也犂冠既犂鑱也今犂鍇音義同本取於上冒之故曰亦聲 母報反, so 臣鍇 implies 亦聲, but the formula itself is not printed or legible. [扫描 n1.pdf p16 left 001-13a]"
125,珥,耳,True,瑱也。从玉、耳，耳亦聲。,亦聲,,both,round1,,瑱也从玉耳耳亦聲,
203,琀,含,True,送死口中玉也。从玉从含，含亦聲。,亦聲,,both,round3_scan,1,送死曰中玉也從玉含含亦聲,No 臣鍇 commentary; the fanqie 侯勘反 follows directly. The printed text has 曰 (or a wide 口) where Da Xu has 口: 送死曰中玉也. [扫描 n1.pdf p21 left 001-18a]
232,𣃘,㫃,True,旌旗杠皃。从丨从㫃，㫃亦聲。,亦聲,,both,round1,,旌旗杠皃从丨㫃亦聲,
237,㞣,分,True,艸初生，其香分布。从屮从分，分亦聲。,亦聲,,both,round1,,艸𥘉生其香分布从□分分亦聲,
568,䒹,耒,True,耕多艸。从艸、耒，耒亦聲。,亦聲,,both,round2,2,耕名从艸耒耒亦聲,gloss has 耕名 for 耕多艸
702,莽,茻,True,南昌謂犬善逐菟艸中爲莽。从犬从茻，茻亦聲。,亦聲,,both,round1,,南昌謂犬善逐兎艸中為莽从犬从茻茻亦聲,
715,𠔁,八,True,分也。从重八。八，別也。亦聲。《孝經說》曰：“故上下有別。”,亦聲,,both,round2,3,分也从重八八别也亦聲,同大徐，亦聲前不重出八
717,必,弋,True,分極也。从八、弋，弋亦聲。,聲,,daxu_only,round1,,分極也从八弋聲,
725,胖,半,True,半體肉也。一曰廣肉。从半从肉，半亦聲。,亦聲,,both,round1,,半體肉一曰廣肉从肉从半半亦聲,
735,牭,四,True,四歲牛。从牛从四，四亦聲。,亦聲,,both,round2,3,四歳牛从牛四四亦聲,
