sw_id,char,phonetic,prev_found,prev_page,next_found,next_page,pages_to_check,missing_in_etext
5,吏,史,一,001-1a,禔,001-3b,001-1a 001-1b 001-2a 001-2b 001-3a 001-3b,
12,禮,豊,一,001-1a,禔,001-3b,001-1a 001-1b 001-2a 001-2b 001-3a 001-3b,
111,琥,虎,璿,001-10b,琥,001-10b,001-10b,
120,瑁,冒,瑒,001-12a,珥,001-12b,001-12a 001-12b,
203,琀,含,琅,001-16a,𨌥,001-16b,001-16a 001-16b,
1437,舌,干,疋,004-15a,只,005-1a,004-15a 005-1a,
1633,𧥣,口,誒,005-11b,訌,005-14a,005-11b 005-12a 005-12b 005-13a 005-13b 005-14a,005-12a 005-12b 005-13a 005-13b
1745,菐,廾,讄,005-15b,𠔯,005-21a,005-15b 005-16a 005-16b 005-17a 005-17b 005-18a 005-18b 005-19a 005-19b 005-20a 005-20b 005-21a,005-16a 005-16b 005-17a 005-17b 005-18a 005-18b 005-19a 005-19b 005-20a 005-20b
1746,僕,菐,讄,005-15b,𠔯,005-21a,005-15b 005-16a 005-16b 005-17a 005-17b 005-18a 005-18b 005-19a 005-19b 005-20a 005-20b 005-21a,005-16a 005-16b 005-17a 005-17b 005-18a 005-18b 005-19a 005-19b 005-20a 005-20b
1782,釁,分,弈,005-22a,鞶,006-4a,005-22a 006-4a,
1789,鞣,柔,弈,005-22a,鞶,006-4a,005-22a 006-4a,
1995,整,正,𤮪,006-18a,𢻱,006-18b,006-18a 006-18b,
1998,政,正,𤮪,006-18a,𢻱,006-18b,006-18a 006-18b,
2029,敡,易,敿,006-19a,敜,006-19b,006-19a 006-19b,
2032,𣀆,羣,敿,006-19a,敜,006-19b,006-19a 006-19b,
2075,甫,父,貞,006-21a,目,007-1b,006-21a 007-1b,
2125,𢌨,㢟,䀣,007-2b,䁴,007-4a,007-2b 007-3a 007-3b 007-4a,007-3a 007-3b
2225,齅,臭,魯,007-10a,翠,007-10b,007-10a 007-10b,
2230,奭,皕,魯,007-10a,翠,007-10b,007-10a 007-10b,
2351,瞿,䀠,羑,007-15a,鷽,007-15b,007-15a 007-15b,
2492,幽,𢆶,再,008-1a,玆,008-1b,008-1a 008-1b,
2494,叀,屮,再,008-1a,玆,008-1b,008-1a 008-1b,
2518,𠭘,井,𤔔,008-3a,殊,008-3b,008-3a 008-3b,
2694,腥,星,膮,008-12b,腏,008-14a,008-12b 008-13a 008-13b 008-14a,008-13a 008-13b
2794,刺,朿,㓠,008-17a,觻,008-19a,008-17a 008-17b 008-18a 008-18b 008-19a,008-18a 008-18b
2984,筑,竹,笙,009-6b,箏,009-8a,009-6b 009-7a 009-7b 009-8a,009-7a 009-7b
3024,𤯌,甘,㠭,009-11a,曰,009-11b,009-11a 009-11b,
3177,阱,井,井,010-2a,冟,010-2b,010-2a 010-2b,
3178,㓝,井,井,010-2a,冟,010-2b,010-2a 010-2b,
3218,饗,鄉,餔,010-3b,餀,010-5a,010-3b 010-4a 010-4b 010-5a,010-4a 010-4b
3261,䢈,辰,僉,010-6a,入,010-6b,010-6a 010-6b,
3786,枰,平,樔,011-26a,槎,011-26b,011-26a 011-26b,
3850,糶,䊮,帀,012-1a,南,012-1b,012-1a 012-1b,
4325,圅,𢎘,𡖊,013-13a,齊,013-15a,013-13a 013-13b 013-14a 013-14b 013-15a,013-14a 013-14b
4634,窞,臽,窳,014-7a,窕,014-7b,014-7a 014-7b,
4640,竀,正,窳,014-7a,窕,014-7b,014-7a 014-7b,
4726,瘧,虐,痟,014-10b,痁,014-12a,014-10b 014-11a 014-11b 014-12a,014-11a 014-11b
4896,帟,亦,席,014-21b,𢂷,014-23a,014-21b 014-22a 014-22b 014-23a,014-22a 014-22b
4919,敝,㡀,皚,014-23b,𪓐,014-25a,014-23b 014-24a 014-24b 014-25a,014-24a 014-24b
4944,仲,中,𪓐,014-25a,僷,015-3a,014-25a 015-3a,
5030,傾,頃,供,015-5a,假,015-5b,015-5a 015-5b,
5157,像,象,伐,015-9a,僥,015-9b,015-9a 015-9b,
5203,從,从,从,015-10b,北,015-12a,015-10b 015-11a 015-11b 015-12a,015-11a 015-11b
5742,㖃,后,后,017-8a,𡭐,017-8b,017-8a 017-8b,
5782,匌,合,䢃,017-10a,包,017-10b,017-10a 017-10b,
6303,𤞛,壯,㺑,019-6b,狎,019-8a,019-6b 019-7a 019-7b 019-8a,019-7a 019-7b
6671,息,自,囟,020-7a,性,020-7b,020-7a 020-7b,
6796,懝,疑,㥛,020-11a,悁,020-11b,020-11a 020-11b,
6810,忘,亡,㥛,020-11a,悁,020-11b,020-11a 020-11b,
7667,否,不,卂,022-11b,至,023-1a,022-11b 023-1a,
8042,拲,共,抌,023-15b,嬴,024-1a,023-15b 024-1a,
8070,姓,生,抌,023-15b,嬴,024-1a,023-15b 024-1a,
8109,娣,弟,姐,024-2a,媧,024-2b,024-2a 024-2b,
8381,匹,八,望,024-14a,匪,024-14b,024-14a 024-14b,
8567,䋛,米,繡,025-2b,縓,025-4a,025-2b 025-3a 025-3b 025-4a,025-3a 025-3b
9156,黃,炗,畺,026-9b,甥,026-11a,026-9b 026-10a 026-10b 026-11a,026-10a 026-10b
9405,鍒,柔,錉,027-7b,几,027-9a,027-7b 027-8a 027-8b 027-9a,027-8a 027-8b
9758,酒,酉,𣍃,028-16b,酴,028-18a,028-16b 028-17a 028-17b 028-18a,028-17a 028-17b
