sw_id	char	reading	pdf	pdf_page	half	leaf	quote	confidence	note
3786	枰	聲	n3.pdf	69	right	011-27b	平也從木平聲	high	Juan 11 starts at PDF p42 (left), so the TOC page is off by one. 樔 is at 27a (p68 left); 枰 is the last column of 27b. The 臣鍇 commentary continues on 28a ('今謂碁局為枰亦言上平也…') and has no 亦聲 remark.
4634	窞	亦聲	n4.pdf	62	left	014-9a	坎中小坎也從穴從臽臽亦声易曰入于坎窞一曰旁入也	high	Juan 14 1a = p54 left. 窳 is at 8b (p62 right). The digital leaf ids run about 1 to 2 leaves low.
4640	竀	亦聲	n4.pdf	62	left	014-9a	正視也從穴中正見正亦声	high	Same half-leaf as 窞.
4726	瘧	亦聲	n4.pdf	67	right	014-13b	寒熱休作病從疒虐虐亦声	high	Printed as 從疒虐, with no second 從. 痟 is at 13a (p66 left).
4896	帟	未見	n4.pdf	74-77		014-20b..023b		medium	Checked the whole 巾部 from its start at 20b (p74 right) to its end ('文六十四 重八', 23b, p77 right). No 帟 headword was found. 席 is at 23a (p76 left), followed by 幐, 幩, 幝, and so on. 幕 on 22a reads '帷在上曰幕', which is close to the Da Xu 帟 gloss 在上曰帟. Headwords on p74 left and p75 right were read at 150 dpi only.
4919	敝	亦聲	n4.pdf	78	left	014-25a	帗也一曰敗衣也從攴㡀㡀亦声	high	Printed as 從攴㡀, with no second 從. There is no 臣鍇 commentary; the fanqie 毗制反 follows.
4944	仲	亦聲	n4.pdf	81	right	015-2b	中也從人中中亦声	high	Juan 15 1a = p79 left. The fanqie 直控反 follows, with no commentary.
5030	傾	亦聲	n4.pdf	85	left	015-7a	仄也從人從頃頃亦声	high	The fanqie is 去營切. The preceding 侍 is printed '承也從人從寺' with no 聲.
5157	像	無聲	n4.pdf	91	right	015-12b	象也從人象讀若養字之養	high	Printed as 從人象, with no 聲 at all. 臣鍇 commentary follows: 按尚書曰崇德象賢…
5203	從	亦聲	n4.pdf	93	right	015-14b	隨行也從辵从从亦聲	high	The 从部 header is at 14a (p92 left).
6303	𤞛	聲	n5.pdf	61	right	019-9b	妄強犬也從犬壯声	high	Juan 19 1a = p52 left. The fanqie 在郎反 follows directly, with no commentary. The entry comes after 獷 and 狀.
6671	息	亦聲	n5.pdf	81	left	020-9a	喘也從心自自亦声	high	Juan 20 1a = p73 left. This is the second entry of 心部.
6796	懝	亦聲	n5.pdf	86	left	020-14a	駿也從心疑疑亦声一曰惶也	high	The gloss character is printed like 駿, where Da Xu has 騃. The entry is the first column of 14a, before 忽 and 忘 on 14b, so Xiao Xu's order differs from Da Xu's. 臣鍇 commentary follows: 猶儓儗也.
6810	忘	聲	n5.pdf	87	right	020-14b	不識也從心亡声	high	The fanqie 勿強反 follows directly, with no commentary.
9758	酒	亦聲	n7.pdf	65	left	028-17a	就也所以就人性之善惡从水从酉酉亦声一曰造也吉凶所造起也古者儀狄作酒醪禹嘗之而美遂疏儀狄杜康作林酒	high	Juan 28 1a = p49 left. This is the first entry after 酉. It is printed with 从 and has 杜康作林酒 (sic, for 秫). 臣鍇 commentary follows: 周禮五齊…
5	吏	亦聲	n1.pdf	5	left	001-2a	治人者也從一從史史亦聲	high	臣鍇曰吏之理人心主於一也…凡言亦聲備言之耳義不主於聲會意 連致反. Juan 1 leaf 1a verified at p4 left (so leaf L a = left of p3+L); digital leaf ids in juan 1 run ~2 leaves behind the scan (digital 禔 001-3b is actually on 5a).
12	禮	亦聲	n1.pdf	8	left	001-5a	履也所以事神致福也從示從豊豊亦聲	high	臣鍇曰通論備矣 力體反. Right half of p8 shows fold 四 (4b), confirming left = 5a.
111	琥	聲	n1.pdf	15	left	001-12a	發兵瑞玉爲虎文從玉虎聲春秋傳曰賜子家子雙琥是	high	Headword+gloss begin in last column of p15 left (12a); 聲春秋傳曰賜子家子雙琥是 continues at top of p16 right (12b). Plain 從玉虎聲, no 亦. Note 子家子 (extra 子) vs Da Xu 子家. 臣鍇按周禮曰白琥禮西方…
120	瑁	不清	n1.pdf	16	left	001-13a	諸侯執圭朝天子天子執玉以冒之似犂冠周禮曰天子執瑁四寸從玉□□□□	medium	This part of the page has blank gaps: the upper parts of several columns (also in 珽 before it) show only bleed-through, confirmed on a contrast-enhanced render. The seal headword shows only a 王 element. The words after 從玉 (expected 冒冒亦聲臣鍇) fall in a blank gap. The visible commentary reads 曰圭上有物冒之也犂冠既犂鑱也今犂鍇音義同本取於上冒之故曰亦聲 母報反, so 臣鍇 implies 亦聲, but the formula itself is not printed or legible.
203	琀	亦聲	n1.pdf	21	left	001-18a	送死曰中玉也從玉含含亦聲	high	No 臣鍇 commentary; the fanqie 侯勘反 follows directly. The printed text has 曰 (or a wide 口) where Da Xu has 口: 送死曰中玉也.
2492	幽	亦聲	n2.pdf	71	left	008-2a	隱也從山中𢆶𢆶亦聲	high	Printed 𢆶 as 丝-like form. 臣鍇曰山中隱處 伊虬反.
2494	叀	亦聲	n2.pdf	72	right	008-2b	專小謹也從幺省屮財見也屮亦聲凡叀之屬皆從叀	high	屮 printed as 中-like form. 臣鍇曰叀專也幺小子也…
2518	𠭘	亦聲	n2.pdf	74	right	008-4b	坑地從𣦼井井亦聲	high	Printed 坑地 (Da Xu 坑也), and 從𣦼井, not 從𣦼從井. 臣鍇曰陷穽也會意 從性反.
2694	腥	亦聲	n2.pdf	83	right	008-13b	星見食豕令肉中生小息肉也從肉星星亦聲	high	The seal headword is at the foot of the last column of 13a (p82 left). The 說解 is in the first column of 13b (p83 right). The formula reads 從肉星, not 從肉從星. 臣鍇按禮曰豕望視而交睫腥…
2794	刺	亦聲	n2.pdf	87	right	008-17b	君殺大夫曰刺刺直傷也從刀從朿朿亦聲	high	朿 is printed in a 東-like form. No 臣鍇 commentary; the fanqie 七賜反 follows.
3850	糶	亦聲	n4.pdf	5	left	012-2a	出穀也從出從䊮䊮亦聲	high	The phonetic component is printed as 米+翟 (read as 䊮). No 臣鍇 commentary; the fanqie 他弔切 follows (切, not 反). Juan 12 leaf 1a is at p3 left.
7667	否	亦聲	n6.pdf	42	right	023-1b	不也從口不不亦声	high	The entry is in 不部 at the start of juan 23 (1a is at p41 left; the TOC's p40 is still juan 22). The formula reads 從口不, not 從口從不, and 聲 is printed as 声. 臣鍇曰否者不可之意見于言也 付刃反.
8042	拲	聲	n6.pdf	57	right	023-16b	兩手共同械也從手共声周禮曰上罪梏拲而桎	high	Plain 從手共声, with no 亦 and no 從…從. The gloss is printed as 兩手共同械也, with an extra 共 in the small double column. No 臣鍇 commentary; the fanqie 短悚反 follows. The 或體 從木 comes next.
8070	姓	亦聲	n6.pdf	58	left	024-1a	人所生也古之神聖人母感天而生子故稱天子因生以爲姓從女生生亦声	high	This is the second entry of juan 24 (女部, after 女). The formula reads 從女生, not 從女從生. There is no 春秋傳 quotation before 臣鍇. 臣鍇曰據典氏妻附寶感…
1633	𧥣	亦聲	n2.pdf	15	left	005-13a	扣也如求婦先𧥣叕之從言口口亦聲	high	口亦 at column foot, 聲 at top of next column; 臣鍇曰頻繁哀求之意…猆走反. Found on 13a (fold 十三); digital anchors 11b/14a are loose
1745	菐	亦聲	n2.pdf	21	right	005-18b	瀆菐也從丵從廾廾亦聲凡菐之屬皆從菐	high	臣鍇曰瀆菐瀆也兩手捧持丵叢雜也
1746	僕	亦聲	n2.pdf	21	right	005-18b	給事者從人從菐菐亦聲	high	same half-leaf as 菐; 臣鍇按春秋左傳…
1782	釁	亦聲	n2.pdf	25	left	006-2a	血祭也象祭竈也從爨省酉酉所以祭也從分分亦聲	high	no 從 before 酉 (從爨省酉); 爨部 opens juan 6 here (juan 6 1a = p24 left), not juan 5; 臣鍇曰酉酒也分分牲也許僅反
