group,series,char,ids,guangyun_all_readings,code_core,note,src
layer2_later,戔,㟞,⿰山戔,崇開二山上 士限切 dzreanX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,戔,䎒,⿰羽戔,莊開二刪上 側板切 tsraenX | 章開三仙上 旨善切 tsyenX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,戔,䏼,⿰月戔,從開一寒平 昨干切 dzan | 從開一寒去 徂贊切 dzanH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,戔,䗃,⿰虫戔,崇開二刪上 士板切 dzraenX | 崇開二刪去 士諫切 dzraenH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,戔,䴼,⿰麥戔,初開二刪去 初鴈切 tsrhaenH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,戔,牋,⿰片戔,精開四先平 則前切 tsen,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,戔,盞,⿱戔皿,莊開二山上 阻限切 tsreanX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,戔,虥,⿰虎戔,崇開二山平 士山切 dzrean | 崇開二山平 昨閑切 dzrean | 崇開二山上 士限切 dzreanX | 崇開二刪去 士諫切 dzraenH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,戔,輚,⿰車戔,崇開二山上 士限切 dzreanX | 崇開二刪去 士諫切 dzraenH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,戔,𤷃,⿸疒戔,從開三仙上 慈演切 dzjenX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
