row_id,group,series,char,relation_in_shuowen,shuowen_gloss,shuowen_id,daxu_fanqie,guangyun_position,guangyun_fanqie,mc_bs2014,mc_match_method,mc_confidence,guangyun_all_readings,oc_bs2014,oc_status,oc_zhengzhang,oc_zz_status,duan_rhyme_group,series_head_rhyme_group,duan_semantic_remarks,duan_loan_extension_remarks,claimed_core,claimed_core_source,code_core,alt_core,code_alt_core,coder,coder_note,flags,src_gloss,src_duan,src_mc,duan_full_notes
1,youwen,戔,戔,phonetic_head,賊也。从二戈。《周書》曰：“戔戔巧言。”,8357,昨千切,從開一寒平,昨干,dzan,initial_only,medium,從開一寒平 昨干切 dzan,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,此與殘音義皆同 / 昔秦穆公說諓諓之言 / 他家作諓、加之言旁也,,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",H,,,"Claude (first pass, unverified)","本义""賊也""（伤害），与""小""无关；段注谓与""殘""音义皆同",,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,此與殘音義皆同。故殘用以會意。今則殘行而戔廢矣。篇、韵皆云傷也。殘與？通。故周禮注曰。雖其潘灡戔餘不可褻也。周易。束帛戔戔。子夏傳作殘殘。皆？餘之意也。 ‖ 會意。昨干切。十四部。 ‖ 句絕。周書秦誓文也。今書𢧵𢧵善諞言。言部引之。古文尙書也。此稱戔戔、𢧵𢧵之異文。今文尙書也。春秋公羊傳曰。惟諓諓善竫言。俾君子易怠。劉向。九歎曰。讒人諓諓。孰可愬兮。王逸注引書諓諓靖言。漢書李尋傳曰。昔秦穆公說諓諓之言。任仡仡之勇。諓卽戔。許作戔爲本字。他家作諓、加之言旁也。 ‖ 也字今補。按公羊音義引賈逵外傳注曰。諓諓、巧言也。許正用侍中說釋戔戔。與上賊義少別。此正如圛訓回行、而引洪範曰圛釋之曰升雲半有半無也。垐訓以土增大道、而引堯典堲讒說釋之曰疾惡也。皆是一例。或本稱戔戔竫言。又曰戔戔巧言也。轉寫有奪文未可定耳。
2,youwen,戔,琖,聲,玉爵也。夏曰琖，殷曰斚，周曰爵。从玉戔聲。或从皿。,209,阻限切,莊開二山上,阻限,tsreanX,identical_fanqie,high,莊開二山上 阻限切 tsreanX,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,,十四部,,,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",E,,,"Claude (first pass, unverified)",同醆,duan_rhyme_missing,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,
3,youwen,戔,㣤,聲,迹也。从彳戔聲。,1241,慈衍切,從開三仙上,慈演,dzjenX,initial+rhyme+tone,high,從開三仙上 慈演切 dzjenX,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,,,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",N,,,"Claude (first pass, unverified)",,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,豳風。籩豆有踐。箋云。踐、行列皃。按踐同㣤。故云行列皃。 ‖ 慈衍切。十四部。
4,youwen,戔,𧗸,聲,迹也。从行戔聲。,1271,才綫切,從開三仙上,慈演,dzjenX,initial_only,medium,從開三仙上 慈演切 dzjenX,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,此與彳部㣤音義同,,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",N,,,"Claude (first pass, unverified)",,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,此與彳部㣤音義同。 ‖ 才綫切。十四部。
5,youwen,戔,踐,聲,履也。从足戔聲。,1356,慈衍切,從開三仙上,慈演,dzjenX,initial+rhyme+tone,high,從開三仙上 慈演切 dzjenX,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,,,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",N,,,"Claude (first pass, unverified)",,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,履之箸地曰履。履、足所依也。 ‖ 慈衍切。十四部。
6,youwen,戔,諓,聲,善言也。从言戔聲。一曰謔也。,1555,慈衍切,從開三仙上,慈演,dzjenX,initial+rhyme+tone,high,從開三仙上 慈演切 dzjenX | 從開三仙去 才線切 dzjenH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,諓諓、巧辨之言,,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",N,,,"Claude (first pass, unverified)",善言、巧言,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,善上當有諓諓二字。古文秦誓𢧵𢧵善諞言。諞字下引之。今文秦誓戔戔。戈部戔字下引之。釋云。巧言也。戔戔公羊傳作諓諓。云惟諓諓善靖言。劉向九歎、漢書李尋傳亦皆作諓諓。王逸注楚辭。引尚書諓諓靖言。正皆今文尚書也。諸家作諓許作戔者、同一今文而有異本。如同一古文而馬作偏許作諞不同也。戔下旣引戔戔矣。而諓下又云善言者。此又用王逸所據諓諓靖言之本也。善言釋靖言。何休曰。靖猶撰也。撰同譔。譔言、善言也。廣雅釋訓曰。諓諓、善也。賈逵外傳注曰。諓諓、巧言也。韋昭注曰。諓諓、巧辨之言。然則此善言、謂善爲言辭者。不同䛡下之善言也。 ‖ 慈衍切。十四部。 ‖ 别一義。
7,youwen,戔,殘,聲,賊也。从歺戔聲。,2541,昨干切,從開一寒平,昨干,dzan,identical_fanqie,high,從開一寒平 昨干切 dzan,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,,,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",N,,,"Claude (first pass, unverified)","本义""賊也""，与声符本义同而非""小""义；王圣美""歹而小者""之说无说文依据",,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,戈部曰。賊敗也。？部殘穿也。今俗用爲㱚餘字。按許意殘訓賊。㱚訓餘今則殘專行而㱚廢矣。周禮稾人注。假戔爲㱚。 ‖ 昨干切。十四部。
8,youwen,戔,箋,聲,表識書也。从竹戔聲。,2886,則前切,精開四先平,則前,tsen,identical_fanqie,high,精開四先平 則前切 tsen,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,,,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",N,,,"Claude (first pass, unverified)","表识书；""小竹片""系后人推说",,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,鄭六藝論云。注詩宗毛爲主。毛義若隠略。則更表明。如有不同。卽下己意。按注詩偁箋。自說甚明。博物志云。毛爲北海相。鄭是郡人。故稱箋以爲敬。此泥魏晉時上書偁箋之例。絶非鄭意。 ‖ 則前切。十四部。
9,youwen,戔,虦,聲,虎竊毛謂之虦苗。从虎戔聲。竊，淺也。,3107,昨閑切,,,,none,none,,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,,於六書爲假借,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",Y,,,"Claude (first pass, unverified)","许书自注""竊，淺也""，浅毛",mc_none,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,苗今之貓字。許書以苗爲貓也。釋獸曰。虎竊毛謂之虥貓。按毛苗古同音。苗亦曰毛。如不毛之地是。竊虥淺亦同音也。具言之曰虦苗。急言之則但曰苗。詩言有貓有虎。記言迎貓迎虎是也。 ‖ 昨閑切。十四部。 ‖ 此於雙聲㬪韵求之。必言此者、嫌竊之本義謂盜自中出也。大雅曰。鞹？淺幭。傳曰。淺、虎皮淺毛也。言竊言淺一也。釋鳥。竊藍、竊黃、竊丹皆訓淺。於六書爲假借。不得云竊卽淺字。
10,youwen,戔,餞,聲,送去也。从食戔聲。《詩》曰：“顯父餞之。”,3232,才線切,從開三仙去,才線,dzjenH,identical_fanqie,high,從開三仙上 慈演切 dzjenX | 從開三仙去 才線切 dzjenH,,pending: BS2014 table not reachable from sandbox,,pending: 郑张尚芳《上古音系》(2003/2013) 字表待获取,十四部,十四部,,,小、少、浅薄,"沈括《梦溪笔谈》卷十四引王圣美右文说（""水之小者曰浅，金之小者曰钱，歹而小者曰残，贝之小者曰贱""）",N,,,"Claude (first pass, unverified)",,,"說文解字(大徐本) via shuowen.org data, github.com/shuowenjiezi/shuowen",段玉裁《說文解字注》 via same dataset (duan_notes field),廣韻 via tshet-uinh 0.15.1 (nk2028); MC notation = Baxter-Sagart 2014 via tshet-uinh-examples baxter.js,各本少食字。今依左傳音義補。毛傳曰。祖而舍軷。飮酒於其側曰餞。 ‖ 才線切。十四部。 ‖ 大雅文。
