series,claimed_core,n_members,n_X_excluded,Y,E,N,strict_rate_Y,loose_rate_YE,keywords,kw_hits,kw_rate,baseline_rate,fisher_p_one_sided,alt_core,alt_Y,alt_E
戔,小、少、浅薄,19,0,4,3,12,0.211,0.368,小|少|淺|薄|微,3,0.158,0.025,0.011,,,
侖,条理、次第,8,3,1,5,2,0.125,0.75,理|倫|次|序|條,0,0.0,0.005,1.0,,,
農,厚、浓、多,4,0,3,1,0,0.75,1.0,厚|濃|多,3,0.75,0.008,2.4e-06,,,
句,曲、钩曲,26,6,7,6,13,0.269,0.5,曲|句|鉤|拘,5,0.192,0.006,5.5e-07,小（幼小）,2,0
皮,分析、剖离,22,1,3,5,14,0.136,0.364,分|析|剝|破|離|裂|碎,1,0.045,0.008,0.16,偏斜/覆被,8,5
兼,兼并、二物相合,25,2,1,5,19,0.04,0.24,并|幷|兼|兩|二,1,0.04,0.011,0.24,不足、收敛,3,4
巠,直而长,18,4,4,8,6,0.222,0.667,直|長|莖,3,0.167,0.014,0.0021,,,
叚,赤色,19,1,4,1,14,0.211,0.263,赤|紅|丹,4,0.211,0.007,8.9e-06,大、远,2,2
冓,交积、相交,12,0,4,5,3,0.333,0.75,交|遇|會|合,2,0.167,0.008,0.0037,,,
堯,高,24,0,2,3,19,0.083,0.208,高,2,0.083,0.009,0.019,,,
喬,高（而曲）,15,1,5,6,4,0.333,0.733,高|長,6,0.4,0.018,1.9e-07,,,
氐,底、下、根柢、抵至,22,2,3,7,12,0.136,0.455,下|底|根|至|抵,3,0.136,0.019,0.0086,,,
票,轻扬、飞举、末梢,23,0,12,5,6,0.522,0.739,輕|飛|浮|疾|末|風,10,0.435,0.017,2.1e-12,,,
叕,连缀,14,2,2,2,10,0.143,0.286,連|聯|綴|續|合,2,0.143,0.005,0.0022,,,
青,精明、纯净,14,2,3,4,7,0.214,0.5,清|明|精|潔|純,1,0.071,0.011,0.15,,,
